Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      230    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
      199    0.000    0.000    0.000    0.000 os.py:696(encodekey)
        2    0.000    0.000    0.000    0.000 util.py:290(transitive_closure)
       25    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
       38    0.000    0.000    0.000    0.000 {built-in method array}
     1378    0.000    0.000    0.000    0.000 {built-in method ord}
       21    0.000    0.000    0.001    0.000 ntpath.py:210(split)
      149    0.000    0.000    0.088    0.001 re.py:221(compile)
        1    0.000    0.000    0.002    0.002 combinator.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:458(HTMLDoc)
       42    0.000    0.000    0.000    0.000 api.py:232(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2328(__init__)
      453    0.000    0.000    0.000    0.000 {built-in method getlower}
       34    0.000    0.000    0.000    0.000 sre_compile.py:423(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 sequential.py:302(UnigramTagger)
       46    0.000    0.000    0.001    0.000 _collections_abc.py:555(popitem)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        9    0.000    0.000    0.000    0.000 datetime.py:302(__new__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        1    0.000    0.000    0.019    0.019 inspect.py:27(<module>)
      111    0.000    0.000    0.006    0.000 data.py:1181(close)
       58    0.000    0.000    0.000    0.000 grammar.py:1283(standard_nonterm_parser)
        1    0.000    0.000    0.109    0.109 request.py:68(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.010    0.010 ssl.py:88(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
      205    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      816    0.000    0.000    0.000    0.000 grammar.py:145(__hash__)
        4    0.000    0.000    0.000    0.000 ssl.py:116(_import_symbols)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:2936(Text)
        1    0.000    0.000    0.009    0.009 _fix.py:1(<module>)
        1    0.000    0.000    0.009    0.009 socket.py:47(<module>)
        2    0.000    0.000    0.003    0.001 grammar.py:1058(__init__)
        1    0.000    0.000    0.001    0.001 util.py:759(<listcomp>)
      114    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        4    0.000    0.000    0.000    0.000 logic.py:90(__init__)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1616(get_filename)
        1    0.000    0.000    0.001    0.001 numerictypes.py:305(_add_aliases)
        1    0.000    0.000    0.000    0.000 downloader.py:365(Downloader)
        2    0.000    0.000    0.006    0.003 function_base.py:1(<module>)
      362    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.014    0.014 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:26(TreeSegmentWidget)
        1    0.000    0.000    0.000    0.000 api.py:68(TheoremToolCommand)
        2    0.000    0.000    0.014    0.007 data.py:528(find)
       19    0.000    0.000    0.001    0.000 nosetester.py:181(__init__)
        1    0.000    0.000    0.014    0.014 __init__.py:31(<module>)
        2    0.000    0.000    0.002    0.001 grammar.py:1227(read_grammar)
        1    0.000    0.000    0.007    0.007 plaintext.py:12(<module>)
      278    0.000    0.000    0.000    0.000 sre_compile.py:107(fixup)
        3    0.000    0.000    0.051    0.017 util.py:8(<module>)
       62    0.000    0.000    0.000    0.000 lexicon.py:119(parsePrimitiveCategory)
      153    0.000    0.000    0.000    0.000 grammar.py:127(__eq__)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1287(load_module)
        1    0.000    0.000    0.035    0.035 pydoc.py:36(<module>)
        1    0.000    0.000    0.009    0.009 ctypeslib.py:51(<module>)
